Topic,number_per_topic,score_avg,view_avg,FavCount_avg,AnsCount_avg,AccpAnsCount_avg,CommentCount_avg
0,42458,1.0,404.0,0.0,1.0,0.48742286494889064,1.0
1,27541,1.0,405.0,0.0,1.0,0.46163901092916015,1.0
2,27273,1.0,342.0,0.0,1.0,0.45007883254500786,1.0
3,26193,1.0,438.0,0.0,1.0,0.4434009086397129,1.0
4,14404,1.0,434.0,0.0,1.0,0.4503610108303249,1.0
5,14043,1.0,314.0,0.0,1.0,0.4823755607776116,1.0
6,13673,1.0,265.0,0.0,1.0,0.5417977035032546,1.0
7,13442,1.0,402.0,0.0,1.0,0.42940038684719534,1.0
8,27422,0.0,215.0,0.0,1.0,0.5339143753190868,1.0
9,16321,1.0,255.0,0.0,1.0,0.6552294589792292,1.0
