Topic,RubyGems,Maven,CPAN,PM,PyPI,Go,CRAN,Puppet,Nuget,npm,Julia,Meteor,Pub,Packagist,Bower,Elm,Conda
Dependency,10.43150398,28.73506176,14.46317657,16.74491393,18.81881882,13.03509816,24.72727273,10.82120297,9.522854852,18.39940165,26.40209905,8.906882591,13.174946,55.78512397,22.42507751,16.7090216,18.25718497
Build,4.713028907,25.42484274,5.678793256,5.007824726,6.406406406,5.289708507,5.636363636,13.12826147,6.405372895,8.135581696,3.804526074,3.316996946,13.174946,6.198347107,13.88219084,3.557814485,4.697862933
Configuration,3.885630499,3.614684067,37.79946761,45.69640063,48.94894895,4.442593694,35.81818182,5.273276572,67.85284683,24.99490039,5.51000328,3.7360608,25.91792657,20.66115702,28.3844299,3.939008895,38.49484156
Error,57.57226644,9.479995171,15.88287489,11.26760563,4.904904905,4.464009518,9.454545455,37.5446306,4.881716119,19.12694635,5.559199738,4.336245472,8.639308855,7.024793388,13.70995522,4.701397713,16.86624908
Testing,2.5869292,12.212133,4.170363798,2.190923318,2.702702703,3.462224866,2.545454545,5.163416644,1.834402566,6.23512613,2.492620531,1.857376234,4.103671706,0.826446281,3.341370996,2.414231258,4.22807664
Client-server,4.608294931,2.644956208,6.033717835,2.190923318,5.705705706,12.54967281,2.909090909,6.289480912,2.315557338,4.525056096,2.246638242,13.40649194,5.831533477,3.305785124,2.44574578,6.925031766,2.616064849
Interface,3.215333054,2.712018992,7.009760426,4.381846635,4.604604605,15.88816181,6,3.076078001,1.37329591,4.36526824,15.33289603,4.364656581,5.183585313,2.066115702,2.44574578,8.3227446,5.093957259
Services,2.848764139,10.42558043,0.976042591,6.729264476,1.901901902,3.585960738,1.090909091,3.460587751,2.255412991,5.157408037,1.213512627,4.705589886,15.76673866,0.826446281,3.616947985,2.414231258,3.002947679
Package usage,8.200670297,3.05135668,5.146406389,4.225352113,4.704704705,11.89530042,7.818181818,6.371875858,2.666399358,6.748487115,11.93834044,52.44335535,5.399568035,2.892561983,8.542886669,28.08132147,4.513633014
Package function,1.93757855,1.699370951,2.839396628,1.564945227,1.301301301,25.38726948,4,8.871189234,0.892141139,2.311824301,25.50016399,2.926344201,2.807775378,0.41322314,1.205649328,22.93519695,2.229182019
